RAW S2:0 RAW S5:0 | S:0,0,0,2839,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,3072,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,3052,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,1872,3076,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,2006,2759,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,1553,2558,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,1841,2696,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,1692,2715,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,1385,2893,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,984,2471,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,880,2352,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:661,0,0,66,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,2376,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,2419,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,2710,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,2768,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,2863,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,2932,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1671,0,1951,2733,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2104,0,2046,2524,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2248,0,2143,2116,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2191,0,2125,2271,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2226,0,2098,2573,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2192,0,1953,2862,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2088,0,1832,2992,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1396,0,1759,2572,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:917,0,1810,3212,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:899,0,1448,3126,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:731,0,1248,3292,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2123,0,2172,3262,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2128,0,2275,3251,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1712,0,2352,3472,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1798,0,1646,3229,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1850,0,1604,3284,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2184,0,1710,3306,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2537,0,1835,3306,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1327,0,1814,3572,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1163,0,1667,3555,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1333,0,1791,3544,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1416,0,1949,3488,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1444,0,1358,1972,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:955,0,1217,1698,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:935,0,1251,1848,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:1990 RAW S5:0 | S:0,1990,0,0,0,0 | HTTP response: -1
RAW S2:1388 RAW S5:12 | S:1965,1388,2301,2485,12,638 | HTTP response: -1
RAW S2:944 RAW S5:12 | S:2231,944,2217,2647,12,638 | HTTP response: -1
RAW S2:1169 RAW S5:12 | S:2135,1169,2043,2544,12,638 | HTTP response: -1
RAW S2:1138 RAW S5:12 | S:2130,1138,1964,2525,12,638 | HTTP response: -1
RAW S2:1158 RAW S5:12 | S:2122,1158,1991,2541,12,638 | HTTP response: -1
RAW S2:1136 RAW S5:12 | S:2145,1136,2016,2564,12,638 | HTTP response: -1
RAW S2:2425 RAW S5:12 | S:2109,2425,0,0,12,638 | HTTP response: -1
RAW S2:2246 RAW S5:12 | S:1008,2246,0,0,12,638 | HTTP response: -1
RAW S2:1173 RAW S5:12 | S:2131,1173,0,0,12,638 | HTTP response: -1
RAW S2:1428 RAW S5:12 | S:1871,1428,0,6,12,638 | HTTP response: -1
RAW S2:1391 RAW S5:12 | S:1920,1391,0,0,12,638 | HTTP response: -1
RAW S2:1262 RAW S5:12 | S:2006,1262,0,0,12,638 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:903,0,72,1932,0,1153 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2516,0,1201,2399,0,1153 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2688,0,1188,2112,0,1153 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:2817,0,2025,1701,0,1153 | HTTP response: -1
RAW S2:690 RAW S5:0 | S:1927,690,1318,2775,0,1153 | HTTP response: -1
RAW S2:719 RAW S5:0 | S:2012,719,1263,2759,0,1153 | HTTP response: -1
RAW S2:646 RAW S5:0 | S:1878,646,1042,2519,0,1153 | HTTP response: -1
RAW S2:184 RAW S5:0 | S:919,184,341,992,0,1153 | HTTP response: -1
RAW S2:166 RAW S5:0 | S:886,166,343,1009,0,1153 | HTTP response: -1
RAW S2:189 RAW S5:0 | S:840,189,315,1049,0,1153 | HTTP response: -1
RAW S2:21 RAW S5:0 | S:638,21,408,1043,0,1153 | HTTP response: -1
RAW S2:183 RAW S5:0 | S:255,183,46,546,0,1153 | HTTP response: -1
RAW S2:222 RAW S5:0 | S:255,222,0,664,0,0 | HTTP response: -1
RAW S2:43 RAW S5:0 | S:572,43,275,1120,0,0 | HTTP response: -1
RAW S2:68 RAW S5:0 | S:521,68,182,1165,0,0 | HTTP response: -1
RAW S2:79 RAW S5:0 | S:754,79,311,1227,0,0 | HTTP response: -1
RAW S2:13 RAW S5:0 | S:309,13,208,699,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:547 RAW S5:0 | S:1643,547,0,1363,0,0 | HTTP response: -1
RAW S2:688 RAW S5:0 | S:1639,688,0,1136,0,0 | HTTP response: -1
RAW S2:658 RAW S5:0 | S:1687,658,0,1218,0,0 | HTTP response: -1
RAW S2:359 RAW S5:0 | S:1669,359,0,1438,0,0 | HTTP response: -1
RAW S2:619 RAW S5:78 | S:1642,619,0,1171,78,0 | HTTP response: -1
RAW S2:0 RAW S5:78 | S:2326,0,1863,1585,78,0 | HTTP response: -1
RAW S2:0 RAW S5:78 | S:1990,0,1201,1175,78,0 | HTTP response: -1
RAW S2:0 RAW S5:78 | S:1951,0,1148,1073,78,0 | HTTP response: -1
RAW S2:0 RAW S5:78 | S:1853,0,941,1128,78,0 | HTTP response: -1
RAW S2:0 RAW S5:78 | S:1903,0,1036,1090,78,0 | HTTP response: -1
RAW S2:449 RAW S5:78 | S:1509,449,1443,1841,78,0 | HTTP response: -1
RAW S2:460 RAW S5:78 | S:1562,460,1389,1979,78,0 | HTTP response: -1
RAW S2:446 RAW S5:78 | S:1512,446,1325,2106,78,0 | HTTP response: -1
RAW S2:431 RAW S5:78 | S:1569,431,1307,2089,78,0 | HTTP response: -1
RAW S2:375 RAW S5:78 | S:1206,375,653,1966,78,0 | HTTP response: -1
RAW S2:308 RAW S5:78 | S:895,308,560,1201,78,0 | HTTP response: -1
RAW S2:417 RAW S5:9 | S:581,417,206,510,9,0 | HTTP response: -1
RAW S2:167 RAW S5:9 | S:474,167,94,397,9,0 | HTTP response: -1
RAW S2:326 RAW S5:9 | S:800,326,0,109,9,0 | HTTP response: -1
RAW S2:251 RAW S5:9 | S:746,251,135,164,9,0 | HTTP response: -1
RAW S2:311 RAW S5:9 | S:737,311,138,252,9,0 | HTTP response: -1
RAW S2:387 RAW S5:9 | S:726,387,0,333,9,0 | HTTP response: -1
RAW S2:376 RAW S5:9 | S:734,376,0,376,9,0 | HTTP response: -1
RAW S2:398 RAW S5:9 | S:746,398,0,280,9,0 | HTTP response: -1
RAW S2:263 RAW S5:9 | S:555,263,0,373,9,0 | HTTP response: -1
RAW S2:392 RAW S5:9 | S:687,392,113,234,9,0 | HTTP response: -1
RAW S2:420 RAW S5:9 | S:833,420,141,387,9,0 | HTTP response: -1
RAW S2:402 RAW S5:9 | S:831,402,132,441,9,0 | HTTP response: -1
RAW S2:403 RAW S5:0 | S:860,403,161,452,0,0 | HTTP response: -1
RAW S2:383 RAW S5:0 | S:721,383,68,112,0,0 | HTTP response: -1
RAW S2:376 RAW S5:0 | S:855,376,105,140,0,0 | HTTP response: -1
RAW S2:423 RAW S5:0 | S:557,423,870,367,0,0 | HTTP response: -1
RAW S2:414 RAW S5:0 | S:685,414,876,444,0,0 | HTTP response: -1
RAW S2:393 RAW S5:0 | S:559,393,884,441,0,0 | HTTP response: -1
RAW S2:461 RAW S5:0 | S:716,461,877,356,0,0 | HTTP response: -1
RAW S2:506 RAW S5:0 | S:860,506,883,201,0,0 | HTTP response: -1
RAW S2:501 RAW S5:0 | S:851,501,860,203,0,0 | HTTP response: -1
RAW S2:501 RAW S5:0 | S:860,501,828,195,0,0 | HTTP response: -1
RAW S2:512 RAW S5:0 | S:709,512,834,194,0,0 | HTTP response: -1
RAW S2:525 RAW S5:0 | S:776,525,826,196,0,0 | HTTP response: -1
RAW S2:505 RAW S5:600 | S:892,505,877,182,600,0 | HTTP response: -1
RAW S2:501 RAW S5:600 | S:920,501,851,210,600,0 | HTTP response: -1
RAW S2:528 RAW S5:600 | S:861,528,867,194,600,0 | HTTP response: -1
RAW S2:529 RAW S5:600 | S:937,529,834,365,600,0 | HTTP response: -1
RAW S2:564 RAW S5:600 | S:900,564,904,202,600,0 | HTTP response: -1
RAW S2:597 RAW S5:600 | S:899,597,866,201,600,0 | HTTP response: -1
RAW S2:602 RAW S5:600 | S:902,602,863,223,600,0 | HTTP response: -1
RAW S2:547 RAW S5:600 | S:915,547,872,152,600,0 | HTTP response: -1
RAW S2:526 RAW S5:600 | S:912,526,876,153,600,0 | HTTP response: -1
RAW S2:538 RAW S5:600 | S:918,538,869,167,600,0 | HTTP response: -1
RAW S2:542 RAW S5:600 | S:911,542,888,172,600,0 | HTTP response: -1
RAW S2:542 RAW S5:600 | S:907,542,914,167,600,0 | HTTP response: -1
RAW S2:488 RAW S5:0 | S:903,488,862,305,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1406,0,1483,895,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:1652,0,1566,508,0,0 | HTTP response: -1
RAW S2:469 RAW S5:0 | S:1224,469,1070,541,0,0 | HTTP response: -1
RAW S2:391 RAW S5:0 | S:1127,391,1142,204,0,0 | HTTP response: -1
RAW S2:409 RAW S5:0 | S:1134,409,1141,237,0,0 | HTTP response: -1
RAW S2:403 RAW S5:0 | S:1155,403,1153,299,0,0 | HTTP response: -1
